detector,classifier,Size_detector,Size_classifier,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy
YOLO-FP32-P15,YOLO-INT8-P10,4.726,6.353,5.1918,1.1004,12.1242,6.3,6.6,0.4621,0.4841
YOLO-FP16-P10,YOLO-INT8-P10,5.016,6.353,2.1647,1.1008,9.0447,6.25,6.6,0.4394,0.464
YOLO-FP16-P15,YOLO-INT8-P10,4.726,6.353,2.1476,1.0969,9.0033,6.25,6.6,0.4394,0.464
YOLO-INT8-P10,YOLO-INT8-P10,5.016,6.353,2.1938,1.0976,8.9439,6.15,6.6,0.4545,0.4878
YOLO-INT8-P15,YOLO-INT8-P10,4.726,6.353,2.1802,1.0942,8.8547,6.1,6.6,0.4242,0.459
RT-DETR-FP32,YOLO-INT8-P10,265.755,6.353,334.6032,1.1025,341.4936,6.25,6.6,0.447,0.472
YOLO-FP32-Base,YOLO-INT8-P15,5.513,5.989,9.4043,1.3235,17.7426,6.3,6.6,0.4621,0.4841
YOLO-FP32-P10,YOLO-INT8-P15,5.016,5.989,5.6509,1.105,12.5018,6.2,6.6,0.4697,0.5
YOLO-FP32-P15,YOLO-INT8-P15,4.726,5.989,5.1918,1.1066,12.1632,6.3,6.6,0.4394,0.4603
YOLO-FP16-P10,YOLO-INT8-P15,5.016,5.989,2.1647,1.1066,9.0808,6.25,6.6,0.4621,0.488
YOLO-FP16-P15,YOLO-INT8-P15,4.726,5.989,2.1476,1.1071,9.067,6.25,6.6,0.4621,0.488
YOLO-INT8-P10,YOLO-INT8-P15,5.016,5.989,2.1938,1.105,8.9897,6.15,6.6,0.447,0.4797
YOLO-INT8-P15,YOLO-INT8-P15,4.726,5.989,2.1802,1.1025,8.9052,6.1,6.6,0.4242,0.459
RT-DETR-FP32,YOLO-INT8-P15,265.755,5.989,334.6032,1.106,341.5155,6.25,6.6,0.4318,0.456
YOLO-FP32-Base,LANMSFF,5.513,1.295,9.4043,2.9834,28.1999,6.3,6.6,0.6288,0.6587
YOLO-FP32-P10,LANMSFF,5.016,1.295,5.6509,2.0106,18.1167,6.2,6.6,0.6288,0.6694
YOLO-FP32-P15,LANMSFF,4.726,1.295,5.1918,1.9455,17.4482,6.3,6.6,0.6288,0.6587
YOLO-FP16-P10,LANMSFF,5.016,1.295,2.1647,1.3849,10.8205,6.25,6.6,0.6591,0.696
YOLO-FP16-P15,LANMSFF,4.726,1.295,2.1476,2.6293,18.5808,6.25,6.6,0.6136,0.648
YOLO-INT8-P10,LANMSFF,5.016,1.295,2.1938,1.3887,10.7344,6.15,6.6,0.6364,0.6829
YOLO-INT8-P15,LANMSFF,4.726,1.295,2.1802,1.3936,10.6812,6.1,6.6,0.6061,0.6557
RT-DETR-FP32,LANMSFF,265.755,1.295,334.6032,2.585,350.7595,6.25,6.6,0.6591,0.696
