detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank,EDUS_cr,Rank_cr,Comb_Size,Desk_Rank_cr
YOLO-FP16-P15,YOLO-FP16-P10,4.334,3.396,0.4842,23.3133,7.4501,68.8044,6.7,6.6,0.4036,0.4097,0.4066,0.4097,0.9338,15,0.9071437250393464,30,7.7299999999999995,31
YOLO-FP32-P10,YOLO-FP16-P10,9.257,3.396,0.4873,49.9524,7.2442,94.6864,6.7,6.6,0.4488,0.4627,0.4556,0.4627,0.9149,30,0.9066403270964585,31,12.652999999999999,30
YOLO-FP32-P10,MobileNetV3,9.257,5.148,0.4873,49.9524,12.2716,166.2492,6.7,6.6,0.447,0.4758,0.6059,0.618,0.9018,53,0.90542048040286,32,14.405,32
YOLO-FP16-P10,YOLO-INT8-P10,4.629,1.526,0.4895,23.5483,7.8145,71.7144,6.8,6.6,0.3847,0.3933,0.389,0.3933,0.9365,13,0.9034640621564672,33,6.154999999999999,27
YOLO-FP32-P10,YOLO-FP32-P10,9.257,6.104,0.4873,49.9524,29.6174,234.2594,6.7,6.6,0.4538,0.4649,0.4593,0.4649,0.9095,36,0.9023383180852832,34,15.361,35
YOLO-INT8-P15,YOLO-FP32-P10,2.17,6.104,0.398,24.3988,28.3755,199.871,10.3,6.6,0.4662,0.4762,0.4711,0.4762,0.9054,45,0.9020503038819015,35,8.274000000000001,37
YOLO-FP32-Base,LANMSFF,10.228,1.224,0.5038,49.7403,6.0766,89.6907,6.75,6.6,0.4152,0.427,0.421,0.427,0.9197,25,0.8989900651063267,36,11.452,36
YOLO-FP16-P15,LANMSFF,4.334,1.224,0.4842,23.3133,5.6692,58.6713,6.7,6.6,0.3735,0.3908,0.382,0.3908,0.9341,14,0.8984764549240113,37,5.558,38
YOLO-INT8-P15,LANMSFF,2.17,1.224,0.398,24.3988,5.667,59.502,10.3,6.6,0.4316,0.4574,0.4441,0.4574,0.9113,33,0.8984307147260988,38,3.394,59
YOLO-FP32-Base,YOLO-INT8-P15,10.228,1.435,0.5038,49.7403,7.9746,100.3477,6.75,6.6,0.4153,0.4225,0.4189,0.4225,0.9188,26,0.8973533766086059,39,11.663,29
YOLO-FP32-P10,YOLO-FP16-P15,9.257,3.052,0.4873,49.9524,7.2833,95.0353,6.7,6.6,0.4327,0.4404,0.4365,0.4404,0.9121,32,0.8969144956039011,40,12.309,45
YOLO-FP32-P10,LANMSFF,9.257,1.224,0.4873,49.9524,5.6597,85.2444,6.7,6.6,0.4146,0.4345,0.4243,0.4345,0.914,31,0.8943481303379309,41,10.481,43
YOLO-FP16-P15,YOLO-INT8-P10,4.334,1.526,0.4842,23.3133,8.7903,77.8228,6.7,6.6,0.3717,0.3783,0.375,0.3783,0.9322,16,0.8939858018483514,42,5.859999999999999,33
YOLO-INT8-P10,YOLO-FP16-P15,2.315,3.052,0.4033,24.4833,7.2644,68.3489,7.9,6.6,0.4343,0.446,0.4401,0.446,0.9084,39,0.8939321186805573,43,5.367,54
YOLO-INT8-P15,YOLO-FP32-Base,2.17,6.792,0.398,24.3988,28.8646,202.8848,10.3,6.6,0.4547,0.4597,0.4572,0.4597,0.9013,55,0.8927677385806317,44,8.962,46
YOLO-INT8-P15,YOLO-FP32-P15,2.17,5.74,0.398,24.3988,28.1917,198.7455,10.3,6.6,0.4389,0.4573,0.4479,0.4573,0.9019,52,0.8899703435316865,45,7.91,40
YOLO-FP32-P15,YOLO-FP16-P15,8.674,3.052,0.4791,49.9619,7.326,95.0635,6.75,6.6,0.4248,0.4337,0.4292,0.4337,0.9078,40,0.8897915762852213,46,11.725999999999999,48
YOLO-INT8-P10,YOLO-FP32-P10,2.315,6.104,0.4033,24.4833,28.3146,196.8084,7.9,6.6,0.4399,0.449,0.4444,0.449,0.9024,50,0.8892088607628783,47,8.419,55
YOLO-FP32-P15,YOLO-FP16-P10,8.674,3.396,0.4791,49.9619,7.2126,94.4553,6.75,6.6,0.4221,0.4349,0.4284,0.4349,0.9068,43,0.8885061841862295,48,12.07,47
YOLO-INT8-P15,YOLO-FP16-P15,2.17,3.052,0.398,24.3988,7.2686,68.9907,10.3,6.6,0.4281,0.4377,0.4328,0.4377,0.9051,46,0.8879923851563881,49,5.2219999999999995,39
YOLO-FP32-P10,YOLO-INT8-P15,9.257,1.435,0.4873,49.9524,7.3672,95.7018,6.7,6.6,0.4007,0.4116,0.4061,0.4116,0.9101,35,0.8838117939528863,50,10.692,41
YOLO-FP32-P15,YOLO-INT8-P15,8.674,1.435,0.4791,49.9619,7.3345,95.3453,6.75,6.6,0.4036,0.406,0.4048,0.406,0.9069,42,0.880144347052047,51,10.109,44
YOLO-INT8-P10,LANMSFF,2.315,1.224,0.4033,24.4833,5.6622,58.9618,7.9,6.6,0.3927,0.4219,0.4068,0.4219,0.9064,44,0.8797306301751505,52,3.5389999999999997,52
YOLO-FP32-P10,YOLO-FP32-P15,9.257,5.74,0.4873,49.9524,28.5876,227.8714,6.7,6.6,0.4119,0.421,0.4164,0.421,0.9024,50,0.8794639035097158,53,14.997,53
YOLO-INT8-P15,YOLO-FP16-P10,2.17,3.396,0.398,24.3988,7.3482,69.1807,10.3,6.6,0.4084,0.4145,0.4114,0.4145,0.9004,56,0.8753645634799316,54,5.566,63
YOLO-FP32-P10,YOLO-INT8-P10,9.257,1.526,0.4873,49.9524,8.219,101.9635,6.7,6.6,0.3847,0.396,0.3903,0.396,0.907,41,0.8748413387646186,55,10.783,50
YOLO-INT8-P10,YOLO-INT8-P15,2.315,1.435,0.4033,24.4833,7.3226,68.7463,7.9,6.6,0.3924,0.3972,0.3948,0.3972,0.9037,48,0.8727161541187445,56,3.75,56
YOLO-FP32-P15,YOLO-INT8-P10,8.674,1.526,0.4791,49.9619,7.6758,97.0832,6.75,6.6,0.384,0.3966,0.3902,0.3966,0.904,47,0.8717321371689434,57,10.2,49
YOLO-INT8-P15,YOLO-INT8-P15,2.17,1.435,0.398,24.3988,8.2481,75.0773,10.3,6.6,0.3876,0.3978,0.3926,0.3978,0.9014,54,0.8695049270499743,58,3.605,57
YOLO-FP32-P15,LANMSFF,8.674,1.224,0.4791,49.9619,5.6553,85.1951,6.75,6.6,0.3703,0.3896,0.3797,0.3896,0.9028,49,0.8665965431788755,59,9.898,51
YOLO-INT8-P10,YOLO-FP32-P15,2.315,5.74,0.4033,24.4833,28.2241,196.3166,7.9,6.6,0.3938,0.4018,0.3978,0.4018,0.8946,61,0.8642426768211137,60,8.055,61
YOLO-INT8-P10,YOLO-FP16-P10,2.315,3.396,0.4033,24.4833,7.1724,67.7296,7.9,6.6,0.383,0.3903,0.3866,0.3903,0.8978,59,0.8635684548679505,61,5.711,62
