detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-FP16-P10,YOLO-FP16-P10,4.629,3.396,0.4895,23.5483,7.2409,68.5648,6.8,6.6,0.4347,0.4458,0.4402,0.4458,0.9417,11
YOLO-FP16-P10,YOLO-FP16-P15,4.629,3.052,0.4895,23.5483,7.3,68.9697,6.8,6.6,0.4582,0.4673,0.4627,0.4673,0.9466,4
YOLO-FP16-P10,YOLO-INT8-P10,4.629,1.526,0.4895,23.5483,7.8145,71.7144,6.8,6.6,0.3847,0.3933,0.389,0.3933,0.9365,13
YOLO-FP16-P10,YOLO-INT8-P15,4.629,1.435,0.4895,23.5483,7.3401,69.3377,6.8,6.6,0.4146,0.4212,0.4179,0.4212,0.942,10
YOLO-FP16-P10,LANMSFF,4.629,1.224,0.4895,23.5483,5.654,59.1638,6.8,6.6,0.4014,0.4166,0.4089,0.4166,0.9408,12
YOLO-FP16-P10,MobileNetV3,4.629,5.148,0.4895,23.5483,12.2692,140.4809,6.8,6.6,0.3921,0.4141,0.6029,0.6141,0.931,18
YOLO-FP16-P10,POSTERv2,4.629,180.56,0.4895,23.5483,30.3884,215.0856,6.8,6.6,0.6311,0.6545,0.6426,0.6545,0.5838,71
YOLO-FP16-P10,PCNN,4.629,103.524,0.4895,23.5483,28.4592,202.6051,6.8,6.6,0.1262,0.1312,0.1287,0.1312,0.6611,64
YOLO-FP16-P15,YOLO-FP32-Base,4.334,6.792,0.4842,23.3133,28.2521,199.7182,6.7,6.6,0.5157,0.5231,0.5194,0.5231,0.947,3
YOLO-FP16-P15,YOLO-FP32-P10,4.334,6.104,0.4842,23.3133,28.3345,199.8449,6.7,6.6,0.4874,0.4987,0.493,0.4987,0.9436,7
YOLO-FP16-P15,YOLO-FP32-P15,4.334,5.74,0.4842,23.3133,28.2646,199.3856,6.7,6.6,0.475,0.4935,0.4841,0.4935,0.9428,9
YOLO-FP16-P15,YOLO-FP16-P10,4.334,3.396,0.4842,23.3133,7.4501,68.8044,6.7,6.6,0.4036,0.4097,0.4066,0.4097,0.9338,15
YOLO-FP16-P15,YOLO-FP16-P15,4.334,3.052,0.4842,23.3133,7.2802,68.3445,6.7,6.6,0.4473,0.4569,0.452,0.4569,0.9429,8
YOLO-FP16-P15,YOLO-INT8-P10,4.334,1.526,0.4842,23.3133,8.7903,77.8228,6.7,6.6,0.3717,0.3783,0.375,0.3783,0.9322,16
YOLO-FP16-P15,YOLO-INT8-P15,4.334,1.435,0.4842,23.3133,7.3399,68.7294,6.7,6.6,0.4431,0.4543,0.4486,0.4543,0.9459,5
YOLO-FP16-P15,LANMSFF,4.334,1.224,0.4842,23.3133,5.6692,58.6713,6.7,6.6,0.3735,0.3908,0.382,0.3908,0.9341,14
YOLO-FP16-P15,MobileNetV3,4.334,5.148,0.4842,23.3133,12.2733,130.6082,6.7,6.6,0.3983,0.4316,0.6145,0.6316,0.9314,17
YOLO-FP16-P15,POSTERv2,4.334,180.56,0.4842,23.3133,30.3695,213.0918,6.7,6.6,0.5996,0.6325,0.6156,0.6325,0.5771,72
YOLO-FP16-P15,PCNN,4.334,103.524,0.4842,23.3133,28.5173,201.2266,6.7,6.6,0.1152,0.1177,0.1164,0.1177,0.6571,65
YOLO-INT8-P10,YOLO-FP32-Base,2.315,6.792,0.4033,24.4833,30.0665,209.2869,7.9,6.6,0.4789,0.4942,0.4864,0.4942,0.9086,38
YOLO-INT8-P10,YOLO-FP32-P10,2.315,6.104,0.4033,24.4833,28.3146,196.8084,7.9,6.6,0.4399,0.449,0.4444,0.449,0.9024,50
YOLO-INT8-P10,YOLO-FP32-P15,2.315,5.74,0.4033,24.4833,28.2241,196.3166,7.9,6.6,0.3938,0.4018,0.3978,0.4018,0.8946,61
YOLO-INT8-P10,YOLO-FP16-P10,2.315,3.396,0.4033,24.4833,7.1724,67.7296,7.9,6.6,0.383,0.3903,0.3866,0.3903,0.8978,59
