detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-FP32-P10,YOLO-INT8-P10,9.257,1.526,0.4763,7.15,7.5053,42.4353,6.7,6.6,0.4045,0.4154,0.4099,0.4154,0.9196,41
YOLO-FP32-P10,YOLO-FP32-P10,9.257,6.104,0.4763,7.15,3.1759,26.6986,6.7,6.6,0.4538,0.4649,0.4593,0.4649,0.9188,42
YOLO-INT8-P15,YOLO-FP16-P15,2.17,3.052,0.3515,2.58,3.7195,20.8595,9.7,6.6,0.4543,0.4715,0.4627,0.4715,0.9137,43
YOLO-FP32-P10,YOLO-FP32-P15,9.257,5.74,0.4763,7.15,3.1748,26.7359,6.7,6.6,0.415,0.4245,0.4197,0.4245,0.912,44
YOLO-FP32-P15,MobileNetV3,8.674,5.148,0.4731,6.7948,1.6872,27.1758,6.75,6.6,0.3854,0.4206,0.4025,0.4206,0.911,45
YOLO-INT8-P10,LANMSFF,2.315,1.224,0.3492,2.709,0.9336,8.3208,8.15,6.6,0.4102,0.4481,0.4283,0.4481,0.91,46
YOLO-INT8-P15,YOLO-FP32-P15,2.17,5.74,0.3515,2.58,3.1238,21.7471,9.7,6.6,0.4634,0.4844,0.4737,0.4844,0.9098,47
YOLO-INT8-P15,YOLO-FP32-P10,2.17,6.104,0.3515,2.58,3.123,21.8056,9.7,6.6,0.4734,0.4793,0.4763,0.4793,0.9095,48
YOLO-FP32-P10,MobileNetV3,9.257,5.148,0.4763,7.15,1.4344,26.0093,6.7,6.6,0.388,0.4109,0.3992,0.4109,0.9094,49
YOLO-INT8-P10,YOLO-INT8-P15,2.315,1.435,0.3492,2.709,9.6375,58.4798,8.15,6.6,0.4171,0.4251,0.4211,0.4251,0.908,50
YOLO-INT8-P10,YOLO-FP32-Base,2.315,6.792,0.3492,2.709,3.1289,21.5416,8.15,6.6,0.4775,0.4832,0.4803,0.4832,0.9075,51
YOLO-INT8-P10,YOLO-FP16-P15,2.315,3.052,0.3492,2.709,3.2944,33.2286,8.15,6.6,0.4286,0.4366,0.4326,0.4366,0.9066,52
YOLO-INT8-P15,YOLO-INT8-P15,2.17,1.435,0.3515,2.58,7.588,54.1776,9.7,6.6,0.4016,0.4126,0.407,0.4126,0.9066,52
YOLO-INT8-P15,YOLO-FP32-Base,2.17,6.792,0.3515,2.58,3.0769,21.4736,9.7,6.6,0.4653,0.4715,0.4684,0.4715,0.9064,54
YOLO-INT8-P15,LANMSFF,2.17,1.224,0.3515,2.58,0.9494,8.3408,9.7,6.6,0.382,0.4034,0.3924,0.4034,0.9043,55
YOLO-INT8-P10,YOLO-INT8-P10,2.315,1.526,0.3492,2.709,5.201,24.5692,8.15,6.6,0.3919,0.4032,0.3975,0.4032,0.9033,56
YOLO-INT8-P15,YOLO-INT8-P10,2.17,1.526,0.3515,2.58,10.4072,60.5484,9.7,6.6,0.3782,0.3899,0.384,0.3899,0.902,57
